X,Y,OBJECTID,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PHONE_NUM,GLOBALID,WEBSITE
-82.875344724816799,39.987924090279364,5699367,4760 E 5TH  AVE,Continental Arins DIP,Retail - Restaurant,,6142353480,{A87DB67A-1A90-4AFD-8885-26D98B8814B7},
-83.004090225499155,39.972236379940114,5699368,59 SPRUCE ST,Pretzels-Retail,Retail - Restaurant,,6145860523,{4E84A6E2-B3B1-490F-BAA3-6956ACDFC05A},
-83.007115301372735,39.99420383821591,5699369,1567 N HIGH ST,First Watch ,Retail - Restaurant,,6147540019,{B673C909-EF72-44D8-85FC-F1A36E779677},
-83.008256229506785,39.997657928619482,5699370,1739 N HIGH ST,Sloopy's Diner at the Ohio,Retail - Restaurant,,6146884636,{781F8834-4EAE-4561-84B1-65FFC5D01B89},
-82.959632745683393,39.983038860724101,5699371,1655 OLD LEONARD AVE,Pitabilities,Retail - Restaurant,,6142166310,{E41AAEEF-E9A0-41A1-AAB2-C3B6CF28EA23},
-82.996601739628204,39.95667874545758,5699372,100 E MAIN ST,Fianza Bail Bonds,Retail - Services,,6146417720,{2F73FD4D-DF17-457B-8DF1-13F5C1032D1F},
-82.893871949821673,39.917642399022654,5699395,2734 OLD COURTRIGHT RD,Berhane Auto Repair,Retail - Services,,,{117C4C19-939D-4B29-9862-6756DD2FB8CA},
-82.969666810262552,39.972689579930801,5699396,1217 MT VERNON AVE,C D White & Son Funeral Home,Retail - Services,,,{BB6E5B30-A02F-456E-AEA6-3026FA142551},
-82.897302979621401,39.917061407504136,5699397,3716 REFUGEE RD,Saverite Super Center,Retail - Commercial/Retail,,,{8CA4B57D-F1D7-4347-A957-2AF6447B7BAA},
-83.118208590754904,39.911128494453145,5699398,4580 ALKIRE RD,Certified Oil,Retail - Gas Station,,,{17E914B7-9D3A-4CEB-99BA-1A28000A021E},
-83.107737405534294,39.987036760471831,5699399,4109 TRABUE RD,Al Safa Halal Meats,Retail - Specialty Food,,,{B503D929-E7BC-4694-BD5D-8C5CB83ABC33},
-83.013560209828896,40.021976059011457,5699402,2931 N HIGH ST,Aladdin's Eatery,Retail - Restaurant,Restaurant DB,,{D67795D9-71F2-47FD-8422-27981BD010C8},
-83.000230487568103,39.969748314232362,5699403,400 N HIGH ST,Java's Cyber Expresso Bar,Retail - Restaurant,Restaurant DB,6142244676,{B482D0DF-EB06-4ACC-9DDD-62C6E9B34A2E},
-83.011674205993927,39.958682589959672,5699404,421 W STATE ST,Stauff's Coffee,Retail - Restaurant,CHAN1705960,614-549-0088,{3DA40F80-394F-4C32-8265-5B4295925DD5},
-82.952394673602612,40.058761098199469,5699408,4384 CLEVELAND AVE,A-Life African Market,Retail - Specialty Food,,,{4ED2DCFE-6BB8-4249-B146-60F03629274C},
-82.898096166212255,39.916928104576996,5699409,3700 REFUGEE RD,Callman Funeral Services,Retail - Services,,,{881B3E4F-ED6C-4E09-86A0-B4A2787BB29B},
-82.839298742419615,39.955413912846311,5699411,5970 E MAIN ST,Bob Evans,Retail - Restaurant,,,{BF5728C2-B44E-4AF7-9488-B20CDAB5BCC5},
